,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,price
0,3,122,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,130,3.47,2.68,9.0,111,5000.0,21,27,0,1,1,0,13495.0
1,3,122,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,130,3.47,2.68,9.0,111,5000.0,21,27,0,1,1,0,16500.0
2,1,122,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,152,2.68,3.47,9.0,154,5000.0,19,26,0,1,1,0,16500.0
3,2,164,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,109,3.19,3.4,10.0,102,5500.0,24,30,0,1,1,0,13950.0
4,2,164,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,136,3.19,3.4,8.0,115,5500.0,18,22,0,1,1,0,17450.0
5,2,122,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,136,3.19,3.4,8.5,110,5500.0,19,25,0,1,1,0,15250.0
6,1,158,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,136,3.19,3.4,8.5,110,5500.0,19,25,0,1,1,0,17710.0
7,1,122,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,136,3.19,3.4,8.5,110,5500.0,19,25,0,1,1,0,18920.0
8,1,158,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,131,3.13,3.4,8.3,140,5500.0,17,20,0,1,0,1,23875.0
9,2,192,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,108,3.5,2.8,8.8,101,5800.0,23,29,0,1,1,0,16430.0
10,0,192,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,108,3.5,2.8,8.8,101,5800.0,23,29,0,1,1,0,16925.0
11,0,188,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,164,3.31,3.19,9.0,121,4250.0,21,28,0,1,1,0,20970.0
12,0,188,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,164,3.31,3.19,9.0,121,4250.0,21,28,0,1,1,0,21105.0
13,1,122,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,164,3.31,3.19,9.0,121,4250.0,20,25,0,1,1,0,24565.0
14,0,122,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,209,3.62,3.39,8.0,182,5400.0,16,22,0,1,1,0,30760.0
15,0,122,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,209,3.62,3.39,8.0,182,5400.0,16,22,0,1,1,0,41315.0
16,0,122,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,209,3.62,3.39,8.0,182,5400.0,15,20,0,1,1,0,36880.0
17,2,121,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,61,2.91,3.03,9.5,48,5100.0,47,53,0,1,1,0,5151.0
18,1,98,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,90,3.03,3.11,9.6,70,5400.0,38,43,0,1,1,0,6295.0
19,0,81,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,90,3.03,3.11,9.6,70,5400.0,38,43,0,1,1,0,6575.0
20,1,118,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,90,2.97,3.23,9.41,68,5500.0,37,41,0,1,1,0,5572.0
21,1,118,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,90,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,6377.0
22,1,118,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,98,3.03,3.39,7.6,102,5500.0,24,30,0,1,0,1,7957.0
23,1,148,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,90,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,6229.0
24,1,148,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,90,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,6692.0
25,1,148,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,90,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,7609.0
26,1,148,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,98,3.03,3.39,7.6,102,5500.0,24,30,0,1,0,1,8558.0
27,-1,110,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,122,3.34,3.46,8.5,88,5000.0,24,30,0,1,1,0,8921.0
28,3,145,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,156,3.6,3.9,7.0,145,5000.0,19,24,0,1,0,1,12964.0
29,2,137,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,92,2.91,3.41,9.6,58,4800.0,49,54,0,1,1,0,6479.0
30,2,137,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,92,2.91,3.41,9.2,76,6000.0,31,38,0,1,1,0,6855.0
31,1,101,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,79,2.91,3.07,10.1,60,5500.0,38,42,0,1,1,0,5399.0
32,1,101,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,92,2.91,3.41,9.2,76,6000.0,30,34,0,1,1,0,6529.0
33,1,101,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,92,2.91,3.41,9.2,76,6000.0,30,34,0,1,1,0,7129.0
34,0,110,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,92,2.91,3.41,9.2,76,6000.0,30,34,0,1,1,0,7295.0
35,0,78,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,92,2.92,3.41,9.2,76,6000.0,30,34,0,1,1,0,7295.0
36,0,106,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,110,3.15,3.58,9.0,86,5800.0,27,33,0,1,1,0,7895.0
37,0,106,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,110,3.15,3.58,9.0,86,5800.0,27,33,0,1,1,0,9095.0
38,0,85,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,110,3.15,3.58,9.0,86,5800.0,27,33,0,1,1,0,8845.0
39,0,85,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,110,3.15,3.58,9.0,86,5800.0,27,33,0,1,1,0,10295.0
40,0,85,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,110,3.15,3.58,9.0,101,5800.0,24,28,0,1,1,0,12945.0
41,1,107,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,110,3.15,3.58,9.1,100,5500.0,25,31,0,1,1,0,10345.0
42,0,122,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,111,3.31,3.23,8.5,78,4800.0,24,29,0,1,1,0,6785.0
43,2,122,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,119,3.43,3.23,9.2,90,5000.0,24,29,0,1,1,0,11048.0
44,0,145,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,258,3.63,4.17,8.1,176,4750.0,15,19,0,1,1,0,32250.0
45,0,122,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,258,3.63,4.17,8.1,176,4750.0,15,19,0,1,1,0,35550.0
46,0,122,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,326,3.54,2.76,11.5,262,5000.0,13,17,0,1,1,0,36000.0
47,1,104,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,91,3.03,3.15,9.0,68,5000.0,30,31,0,1,1,0,5195.0
48,1,104,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,91,3.03,3.15,9.0,68,5000.0,31,38,0,1,1,0,6095.0
49,1,104,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,91,3.03,3.15,9.0,68,5000.0,31,38,0,1,1,0,6795.0
50,1,113,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,91,3.03,3.15,9.0,68,5000.0,31,38,0,1,1,0,6695.0
51,1,113,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,91,3.08,3.15,9.0,68,5000.0,31,38,0,1,1,0,7395.0
52,3,150,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,70,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,0,1,1,0,10945.0
53,3,150,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,70,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,0,1,1,0,11845.0
54,3,150,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,70,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,17,23,0,1,1,0,13645.0
55,3,150,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,80,3.3297512437810957,3.2554228855721337,9.4,135,6000.0,16,23,0,1,1,0,15645.0
56,1,129,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,122,3.39,3.39,8.6,84,4800.0,26,32,0,1,1,0,8845.0
57,0,115,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,122,3.39,3.39,8.6,84,4800.0,26,32,0,1,1,0,8495.0
58,1,129,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,122,3.39,3.39,8.6,84,4800.0,26,32,0,1,1,0,10595.0
59,0,115,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,122,3.39,3.39,8.6,84,4800.0,26,32,0,1,1,0,10245.0
60,0,122,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,122,3.39,3.39,22.7,64,4650.0,36,42,1,0,1,0,10795.0
61,0,115,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,122,3.39,3.39,8.6,84,4800.0,26,32,0,1,1,0,11245.0
62,0,118,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,140,3.76,3.16,8.0,120,5000.0,19,27,0,1,1,0,18280.0
63,0,122,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,134,3.43,3.64,22.0,72,4200.0,31,39,1,0,1,0,18344.0
64,-1,93,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,183,3.58,3.64,21.5,123,4350.0,22,25,1,0,0,1,25552.0
65,-1,93,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,183,3.58,3.64,21.5,123,4350.0,22,25,1,0,0,1,28248.0
66,0,93,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,183,3.58,3.64,21.5,123,4350.0,22,25,1,0,0,1,28176.0
67,-1,93,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,183,3.58,3.64,21.5,123,4350.0,22,25,1,0,0,1,31600.0
68,-1,122,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,234,3.46,3.1,8.3,155,4750.0,16,18,0,1,1,0,34184.0
69,3,142,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,234,3.46,3.1,8.3,155,4750.0,16,18,0,1,1,0,35056.0
70,0,122,120.9,1.0,0.9958333333333333,0.948160535117057,3900,308,3.8,3.35,8.0,184,4500.0,14,16,0,1,1,0,40960.0
71,1,122,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,304,3.8,3.35,8.0,184,4500.0,14,16,0,1,1,0,45400.0
72,1,122,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,140,3.78,3.12,8.0,175,5000.0,19,24,0,1,0,1,16503.0
73,2,161,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,92,2.97,3.23,9.4,68,5500.0,37,41,0,1,1,0,5389.0
74,2,161,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,92,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,6189.0
75,2,161,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,92,2.97,3.23,9.4,68,5500.0,31,38,0,1,1,0,6669.0
76,1,161,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,98,3.03,3.39,7.6,102,5500.0,24,30,0,1,0,1,7689.0
77,3,153,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,110,3.17,3.46,7.5,116,5500.0,23,30,0,1,0,1,9959.0
78,3,153,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,122,3.35,3.46,8.5,88,5000.0,25,32,0,1,1,0,8499.0
79,3,122,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,156,3.58,3.86,7.0,145,5000.0,19,24,0,1,0,1,12629.0
80,3,122,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,156,3.59,3.86,7.0,145,5000.0,19,24,0,1,0,1,14869.0
81,3,122,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,156,3.59,3.86,7.0,145,5000.0,19,24,0,1,0,1,14489.0
82,1,125,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,122,3.35,3.46,8.5,88,5000.0,25,32,0,1,1,0,6989.0
83,1,125,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,122,3.35,3.46,8.5,88,5000.0,25,32,0,1,1,0,8189.0
84,1,125,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,110,3.17,3.46,7.5,116,5500.0,23,30,0,1,0,1,9279.0
85,-1,137,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,110,3.17,3.46,7.5,116,5500.0,23,30,0,1,1,0,9279.0
86,1,128,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,5499.0
87,1,128,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,103,2.99,3.47,21.9,55,4800.0,45,50,1,0,1,0,7099.0
88,1,128,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,6649.0
89,1,122,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,6849.0
90,1,103,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,7349.0
91,1,128,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,7299.0
92,1,128,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,7799.0
93,1,122,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,7499.0
94,1,103,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,7999.0
95,2,168,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,97,3.15,3.29,9.4,69,5200.0,31,37,0,1,1,0,8249.0
96,0,106,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,120,3.33,3.47,8.5,97,5200.0,27,34,0,1,1,0,8949.0
97,0,106,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,120,3.33,3.47,8.5,97,5200.0,27,34,0,1,1,0,9549.0
98,0,128,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,181,3.43,3.27,9.0,152,5200.0,17,22,0,1,1,0,13499.0
